Sample,Treat,Gm,Wet,Dry,MC,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21
CRT-T1-1,CRT,N,22.6,15.1,0.496688742,,+,+,,,,,,,,,,,,,,,,,,
CRT-T1-2,CRT,N,22.8,15,0.52,,,+,,,,,,+,+,,,,,,,,,,,
CRT-T1-3,CRT,N,22.5,14.4,0.5625,,,+,,,,,,,,+,,,,,,,,,,
CRT-T2-1,CRT,N,19.8,12.5,0.584,+,,+,,,,,,,,,,,,,,,,,,
CRT-T2-2,CRT,N,24.1,14.8,0.628378378,,,+,,,,,,,,+,,,,,,,,,,
CRT-T2-3,CRT,N,18.3,11.7,0.564102564,+,,+,,,,,,,,+,,,,,,,,,,
CRT-T3-1,CRT,N,27.7,15.6,0.775641026,,,+,+,,,,,,,,,,,,,,,,,
CRT-T3-2,CRT,N,29.3,15.7,0.866242038,,,,+,,,,,+,,,,,,,,,,,,
CRT-T3-3,CRT,N,27.2,14.7,0.850340136,,,+,,,,,,+,,,,,,,,,,,,
CRT-T4-1,CRT,N,16,10.8,0.481481481,,,+,,,,,,,,,,,,,,,,,,
CRT-T4-2,CRT,N,16.2,10.4,0.557692308,+,+,+,,,,,,,,,,,,,,,,,,
CRT-T4-3,CRT,N,16.5,11.1,0.486486486,+,,+,,,,,,,,,,,,,,,,,,
CRT-T5-1,CRT,N,15,10.7,0.401869159,+,+,,,,,,,,,,,,,,,,,,,
CRT-T5-2,CRT,N,14.9,10.3,0.446601942,,+,+,,,,,,,,,,,,,,,,,,
CRT-T5-3,CRT,N,15.8,10.1,0.564356436,,,,+,+,+,,,,,,,,,,,,,,,
CRT-T6-1,CRT,N,16.4,10.5,0.561904762,,,+,,,,+,+,,,,,,,,,,,,,
CRT-T6-2,CRT,N,17.9,10.9,0.642201835,,,+,,,,,,,,,,,,,,,,,,
CRT-T6-3,CRT,N,17.9,10.9,0.642201835,,,+,,+,,,,,,,,,,,,,,,,
LiCl-T1-1,LiCl,Y,17,16.4,0.036585366,,,,,,,,,,,,,,,,,,,,,
LiCl-T1-2,LiCl,Y,15.8,15.4,0.025974026,,,,,,,,,,,,,,,,,,,,,
LiCl-T1-3,LiCl,Y,16.4,15.8,0.037974684,,,,,,,,,,,,,,,,,,,,,
LiCl-T2-1,LiCl,Y,12.8,12.3,0.040650407,,,,,,,,,,,,,,,,,,,,,
LiCl-T2-2,LiCl,Y,13.9,13.7,0.01459854,,,,,,,,,,,,,,,,,,,,,
LiCl-T2-3,LiCl,Y,13.5,13,0.038461538,,,,,,,,,,,,,,,,,,,,,
LiCl-T3-1,LiCl,Y,16.6,16.1,0.031055901,,,+,,,,,,,,,,,,,,,,,,
LiCl-T3-2,LiCl,Y,17.1,16.5,0.036363636,,,,,,,,,,,,,,,,,,,,,
LiCl-T3-3,LiCl,Y,17.1,16.6,0.030120482,,,,,,,,,,,,+,,,,,,,,,
LiCl-T4-1,LiCl,Y,11.4,11.1,0.027027027,,,,,,,,,,,,,,,,,,,,,
LiCl-T4-2,LiCl,Y,10.9,10.7,0.018691589,,,,,,,,,,,,,,,,,,,,,
