Treat,Rep,Wet,Dry,Aspergillus,Xylaria,Geosmithia,Other
KOAc,1,13.6,12.5,0,1,0,
KOAc,2,15.2,13.9,0,1,0,
KOAc,3,15.1,13.9,1,1,0,
KOAc,4,15.9,14.4,1,1,0,
KOAc,5,13.4,12.3,1,1,0,
KOAc,6,14.5,13.2,0,0,1,
KOAc,7,12.7,11.7,0,0,0,Fusarium
KOAc,8,13.1,12,0,0,0,Cladosporium
LiCl,1,16.8,15.8,0,0,0,Penicillium
LiCl,2,13.5,12.8,1,1,0,
LiCl,3,16.9,16,0,0,1,
LiCl,4,13,12.2,1,1,0,
LiCl,5,14,13.2,1,0,0,
LiCl,6,13.9,13.1,1,0,0,
LiCl,7,13.7,12.9,0,0,0,Orange fungus
LiCl,8,14,13.2,0,0,0,Epicoccum
MgNO3,1,15.1,11.8,0,1,0,
MgNO3,2,16.9,12.6,1,1,0,
MgNO3,3,18.2,15.4,1,0,0,
MgNO3,4,15.6,13.3,0,0,1,
MgNO3,5,16.8,14,0,0,0,
MgNO3,6,16.1,13.5,0,0,0,
MgNO3,7,13,10.8,0,1,0,
MgNO3,8,15.7,13.5,0,0,0,
NH3Cl,1,13.4,11,0,0,0,Unknown
NH3Cl,2,20.3,15.4,0,0,0,Unknown
NH3Cl,3,15.7,12.5,0,0,0,Zygo or Trichoderma
NH3Cl,4,19.9,12,0,1,0,
NH3Cl,5,18.4,13.2,0,1,0,
NH3Cl,6,20.5,16.9,0,1,0,
NH3Cl,7,20.6,15.1,0,0,0,Unknown
NH3Cl,8,12.4,9.7,0,0,0,Unknown
